"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1985-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.63,"bereinigt"
"1985-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",56.03,"bereinigt"
"1985-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",30.92,"bereinigt"
"1985-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",54.09,"bereinigt"
"1985-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",97.66,"bereinigt"
"1985-01-01T01:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.76,"bereinigt"
"1985-01-01T01:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",52.94,"bereinigt"
"1985-01-01T01:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",37.62,"bereinigt"
"1985-01-01T01:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",57.85,"bereinigt"
"1985-01-01T01:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",77.61,"bereinigt"
"1985-01-01T02:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.64,"bereinigt"
"1985-01-01T02:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",52.44,"bereinigt"
"1985-01-01T02:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",30.41,"bereinigt"
"1985-01-01T02:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",51.8,"bereinigt"
"1985-01-01T02:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",66.82,"bereinigt"
"1985-01-01T03:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.4,"bereinigt"
"1985-01-01T03:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",46.78,"bereinigt"
"1985-01-01T03:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",11.86,"bereinigt"
"1985-01-01T03:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",33.97,"bereinigt"
"1985-01-01T03:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",53.46,"bereinigt"
"1985-01-01T04:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.44,"bereinigt"
"1985-01-01T04:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",45.75,"bereinigt"
"1985-01-01T04:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",13.4,"bereinigt"
"1985-01-01T04:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",34.67,"bereinigt"
"1985-01-01T04:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",NA,"bereinigt"
"1985-01-01T05:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.4,"bereinigt"
"1985-01-01T05:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",47.81,"bereinigt"
"1985-01-01T05:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",13.4,"bereinigt"
"1985-01-01T05:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",35.74,"bereinigt"
"1985-01-01T05:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",NA,"bereinigt"
"1985-01-01T06:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.43,"bereinigt"
"1985-01-01T06:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",52.94,"bereinigt"
"1985-01-01T06:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",20.1,"bereinigt"
"1985-01-01T06:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",43.8,"bereinigt"
"1985-01-01T06:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",NA,"bereinigt"
"1985-01-01T07:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.46,"bereinigt"
"1985-01-01T07:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",58.09,"bereinigt"
"1985-01-01T07:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",17.01,"bereinigt"
"1985-01-01T07:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",44.01,"bereinigt"
"1985-01-01T07:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",81.21,"bereinigt"
"1985-01-01T08:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.75,"bereinigt"
"1985-01-01T08:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",58.09,"bereinigt"
"1985-01-01T08:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",29.89,"bereinigt"
"1985-01-01T08:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",54.34,"bereinigt"
"1985-01-01T08:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",61.16,"bereinigt"
"1985-01-01T09:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.79,"bereinigt"
"1985-01-01T09:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",59.12,"bereinigt"
"1985-01-01T09:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",43.81,"bereinigt"
"1985-01-01T09:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",66.04,"bereinigt"
"1985-01-01T09:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",62.7,"bereinigt"
"1985-01-01T10:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.61,"bereinigt"
"1985-01-01T10:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",55,"bereinigt"
"1985-01-01T10:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",27.83,"bereinigt"
"1985-01-01T10:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",51.07,"bereinigt"
"1985-01-01T10:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",62.2,"bereinigt"
"1985-01-01T11:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.91,"bereinigt"
"1985-01-01T11:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",52.94,"bereinigt"
"1985-01-01T11:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",42.26,"bereinigt"
"1985-01-01T11:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",61.57,"bereinigt"
"1985-01-01T11:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",62.7,"bereinigt"
"1985-01-01T12:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.48,"bereinigt"
"1985-01-01T12:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",39.58,"bereinigt"
"1985-01-01T12:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",14.94,"bereinigt"
"1985-01-01T12:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",32.68,"bereinigt"
"1985-01-01T12:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",62.2,"bereinigt"
"1985-01-01T13:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.4,"bereinigt"
"1985-01-01T13:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",36.5,"bereinigt"
"1985-01-01T13:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",11.34,"bereinigt"
"1985-01-01T13:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",28.17,"bereinigt"
"1985-01-01T13:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",52.42,"bereinigt"
