"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",31.24,"provisorisch"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",13.62,"provisorisch"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",38.87,"provisorisch"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","O3","h1","µg/m3",7.07,"provisorisch"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","PM10","h1","µg/m3",49.2,"provisorisch"
"2023-01-01T02:00+0100","Zch_Stampfenbachstrasse","PM2.5","h1","µg/m3",41.27,"provisorisch"
"2023-01-01T02:00+0100","Zch_Schimmelstrasse","NOx","h1","ppb",20.94,"provisorisch"
"2023-01-01T02:00+0100","Zch_Schimmelstrasse","NO","h1","µg/m3",8.74,"provisorisch"
"2023-01-01T02:00+0100","Zch_Schimmelstrasse","NO2","h1","µg/m3",26.65,"provisorisch"
"2023-01-01T02:00+0100","Zch_Schimmelstrasse","O3","h1","µg/m3",19.47,"provisorisch"
"2023-01-01T02:00+0100","Zch_Schimmelstrasse","PM10","h1","µg/m3",42.07,"provisorisch"
"2023-01-01T02:00+0100","Zch_Schimmelstrasse","PM2.5","h1","µg/m3",40.11,"provisorisch"
"2023-01-01T02:00+0100","Zch_Heubeeribüel","NOx","h1","ppb",2.16,"provisorisch"
"2023-01-01T02:00+0100","Zch_Heubeeribüel","NO","h1","µg/m3",0.45,"provisorisch"
"2023-01-01T02:00+0100","Zch_Heubeeribüel","NO2","h1","µg/m3",3.43,"provisorisch"
"2023-01-01T02:00+0100","Zch_Heubeeribüel","O3","h1","µg/m3",51.59,"provisorisch"
"2023-01-01T02:00+0100","Zch_Rosengartenstrasse","NOx","h1","ppb",71.83,"provisorisch"
"2023-01-01T02:00+0100","Zch_Rosengartenstrasse","NO","h1","µg/m3",54.98,"provisorisch"
"2023-01-01T02:00+0100","Zch_Rosengartenstrasse","NO2","h1","µg/m3",53.07,"provisorisch"
"2023-01-01T02:00+0100","Zch_Rosengartenstrasse","O3","h1","µg/m3",6.02,"provisorisch"
"2023-01-01T02:00+0100","Zch_Rosengartenstrasse","PM10","h1","µg/m3",32.02,"provisorisch"
"2023-01-01T02:00+0100","Zch_Rosengartenstrasse","PM2.5","h1","µg/m3",27.29,"provisorisch"
"2023-01-01T03:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.29,"provisorisch"
"2023-01-01T03:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",1.78,"provisorisch"
"2023-01-01T03:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",21.75,"provisorisch"
"2023-01-01T03:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",7.4,"provisorisch"
"2023-01-01T03:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",30.25,"provisorisch"
"2023-01-01T03:00+0100","Zch_Stampfenbachstrasse","O3","h1","µg/m3",10.84,"provisorisch"
"2023-01-01T03:00+0100","Zch_Stampfenbachstrasse","PM10","h1","µg/m3",47.37,"provisorisch"
"2023-01-01T03:00+0100","Zch_Stampfenbachstrasse","PM2.5","h1","µg/m3",40.44,"provisorisch"
"2023-01-01T03:00+0100","Zch_Schimmelstrasse","NOx","h1","ppb",15.92,"provisorisch"
"2023-01-01T03:00+0100","Zch_Schimmelstrasse","NO","h1","µg/m3",3.56,"provisorisch"
"2023-01-01T03:00+0100","Zch_Schimmelstrasse","NO2","h1","µg/m3",24.98,"provisorisch"
"2023-01-01T03:00+0100","Zch_Schimmelstrasse","O3","h1","µg/m3",13.33,"provisorisch"
"2023-01-01T03:00+0100","Zch_Schimmelstrasse","PM10","h1","µg/m3",47.51,"provisorisch"
"2023-01-01T03:00+0100","Zch_Schimmelstrasse","PM2.5","h1","µg/m3",46.29,"provisorisch"
"2023-01-01T03:00+0100","Zch_Heubeeribüel","NOx","h1","ppb",2.52,"provisorisch"
"2023-01-01T03:00+0100","Zch_Heubeeribüel","NO","h1","µg/m3",0.53,"provisorisch"
"2023-01-01T03:00+0100","Zch_Heubeeribüel","NO2","h1","µg/m3",4,"provisorisch"
"2023-01-01T03:00+0100","Zch_Heubeeribüel","O3","h1","µg/m3",48.84,"provisorisch"
"2023-01-01T03:00+0100","Zch_Rosengartenstrasse","NOx","h1","ppb",59.74,"provisorisch"
"2023-01-01T03:00+0100","Zch_Rosengartenstrasse","NO","h1","µg/m3",43.34,"provisorisch"
"2023-01-01T03:00+0100","Zch_Rosengartenstrasse","NO2","h1","µg/m3",47.78,"provisorisch"
"2023-01-01T03:00+0100","Zch_Rosengartenstrasse","O3","h1","µg/m3",4.94,"provisorisch"
"2023-01-01T03:00+0100","Zch_Rosengartenstrasse","PM10","h1","µg/m3",30.92,"provisorisch"
"2023-01-01T03:00+0100","Zch_Rosengartenstrasse","PM2.5","h1","µg/m3",26.39,"provisorisch"
"2023-01-01T04:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.24,"provisorisch"
"2023-01-01T04:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",1.68,"provisorisch"
"2023-01-01T04:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",15.85,"provisorisch"
"2023-01-01T04:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",3.92,"provisorisch"
"2023-01-01T04:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",24.3,"provisorisch"
"2023-01-01T04:00+0100","Zch_Stampfenbachstrasse","O3","h1","µg/m3",18.19,"provisorisch"
"2023-01-01T04:00+0100","Zch_Stampfenbachstrasse","PM10","h1","µg/m3",30.87,"provisorisch"
"2023-01-01T04:00+0100","Zch_Stampfenbachstrasse","PM2.5","h1","µg/m3",25.62,"provisorisch"
"2023-01-01T04:00+0100","Zch_Schimmelstrasse","NOx","h1","ppb",9.18,"provisorisch"
"2023-01-01T04:00+0100","Zch_Schimmelstrasse","NO","h1","µg/m3",4.06,"provisorisch"
"2023-01-01T04:00+0100","Zch_Schimmelstrasse","NO2","h1","µg/m3",11.33,"provisorisch"
"2023-01-01T04:00+0100","Zch_Schimmelstrasse","O3","h1","µg/m3",41.08,"provisorisch"
"2023-01-01T04:00+0100","Zch_Schimmelstrasse","PM10","h1","µg/m3",19.68,"provisorisch"
"2023-01-01T04:00+0100","Zch_Schimmelstrasse","PM2.5","h1","µg/m3",17.57,"provisorisch"
"2023-01-01T04:00+0100","Zch_Heubeeribüel","NOx","h1","ppb",2.3,"provisorisch"
"2023-01-01T04:00+0100","Zch_Heubeeribüel","NO","h1","µg/m3",0.47,"provisorisch"
"2023-01-01T04:00+0100","Zch_Heubeeribüel","NO2","h1","µg/m3",3.67,"provisorisch"
"2023-01-01T04:00+0100","Zch_Heubeeribüel","O3","h1","µg/m3",50.73,"provisorisch"
"2023-01-01T04:00+0100","Zch_Rosengartenstrasse","NOx","h1","ppb",36.48,"provisorisch"
"2023-01-01T04:00+0100","Zch_Rosengartenstrasse","NO","h1","µg/m3",24.17,"provisorisch"
"2023-01-01T04:00+0100","Zch_Rosengartenstrasse","NO2","h1","µg/m3",32.7,"provisorisch"
"2023-01-01T04:00+0100","Zch_Rosengartenstrasse","O3","h1","µg/m3",19.02,"provisorisch"
"2023-01-01T04:00+0100","Zch_Rosengartenstrasse","PM10","h1","µg/m3",24.41,"provisorisch"
"2023-01-01T04:00+0100","Zch_Rosengartenstrasse","PM2.5","h1","µg/m3",20.5,"provisorisch"
"2023-01-01T05:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.15,"provisorisch"
"2023-01-01T05:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",1.37,"provisorisch"
"2023-01-01T05:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",4.14,"provisorisch"
"2023-01-01T05:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",0.66,"provisorisch"
"2023-01-01T05:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",6.9,"provisorisch"
"2023-01-01T05:00+0100","Zch_Stampfenbachstrasse","O3","h1","µg/m3",45.87,"provisorisch"
"2023-01-01T05:00+0100","Zch_Stampfenbachstrasse","PM10","h1","µg/m3",16.13,"provisorisch"
"2023-01-01T05:00+0100","Zch_Stampfenbachstrasse","PM2.5","h1","µg/m3",10.17,"provisorisch"
"2023-01-01T05:00+0100","Zch_Schimmelstrasse","NOx","h1","ppb",2.28,"provisorisch"
"2023-01-01T05:00+0100","Zch_Schimmelstrasse","NO","h1","µg/m3",0.5,"provisorisch"
"2023-01-01T05:00+0100","Zch_Schimmelstrasse","NO2","h1","µg/m3",3.59,"provisorisch"
"2023-01-01T05:00+0100","Zch_Schimmelstrasse","O3","h1","µg/m3",54.76,"provisorisch"
"2023-01-01T05:00+0100","Zch_Schimmelstrasse","PM10","h1","µg/m3",6.97,"provisorisch"
"2023-01-01T05:00+0100","Zch_Schimmelstrasse","PM2.5","h1","µg/m3",4.42,"provisorisch"
"2023-01-01T05:00+0100","Zch_Heubeeribüel","NOx","h1","ppb",2.36,"provisorisch"
"2023-01-01T05:00+0100","Zch_Heubeeribüel","NO","h1","µg/m3",0.42,"provisorisch"
"2023-01-01T05:00+0100","Zch_Heubeeribüel","NO2","h1","µg/m3",3.87,"provisorisch"
"2023-01-01T05:00+0100","Zch_Heubeeribüel","O3","h1","µg/m3",52.1,"provisorisch"
"2023-01-01T05:00+0100","Zch_Rosengartenstrasse","NOx","h1","ppb",8.6,"provisorisch"
"2023-01-01T05:00+0100","Zch_Rosengartenstrasse","NO","h1","µg/m3",3.52,"provisorisch"
"2023-01-01T05:00+0100","Zch_Rosengartenstrasse","NO2","h1","µg/m3",11.06,"provisorisch"
"2023-01-01T05:00+0100","Zch_Rosengartenstrasse","O3","h1","µg/m3",46.61,"provisorisch"
"2023-01-01T05:00+0100","Zch_Rosengartenstrasse","PM10","h1","µg/m3",7.97,"provisorisch"
"2023-01-01T05:00+0100","Zch_Rosengartenstrasse","PM2.5","h1","µg/m3",4.51,"provisorisch"
"2023-01-01T06:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.13,"provisorisch"
"2023-01-01T06:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",1.29,"provisorisch"
"2023-01-01T06:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",1.93,"provisorisch"
"2023-01-01T06:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",0.21,"provisorisch"
"2023-01-01T06:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",3.36,"provisorisch"
"2023-01-01T06:00+0100","Zch_Stampfenbachstrasse","O3","h1","µg/m3",55.07,"provisorisch"
"2023-01-01T06:00+0100","Zch_Stampfenbachstrasse","PM10","h1","µg/m3",17.19,"provisorisch"
"2023-01-01T06:00+0100","Zch_Stampfenbachstrasse","PM2.5","h1","µg/m3",5.36,"provisorisch"
"2023-01-01T06:00+0100","Zch_Schimmelstrasse","NOx","h1","ppb",2.35,"provisorisch"
"2023-01-01T06:00+0100","Zch_Schimmelstrasse","NO","h1","µg/m3",0.54,"provisorisch"
"2023-01-01T06:00+0100","Zch_Schimmelstrasse","NO2","h1","µg/m3",3.65,"provisorisch"
"2023-01-01T06:00+0100","Zch_Schimmelstrasse","O3","h1","µg/m3",56.22,"provisorisch"
"2023-01-01T06:00+0100","Zch_Schimmelstrasse","PM10","h1","µg/m3",6.94,"provisorisch"
"2023-01-01T06:00+0100","Zch_Schimmelstrasse","PM2.5","h1","µg/m3",4.45,"provisorisch"
"2023-01-01T06:00+0100","Zch_Heubeeribüel","NOx","h1","ppb",1.36,"provisorisch"
"2023-01-01T06:00+0100","Zch_Heubeeribüel","NO","h1","µg/m3",0.52,"provisorisch"
"2023-01-01T06:00+0100","Zch_Heubeeribüel","NO2","h1","µg/m3",1.81,"provisorisch"
"2023-01-01T06:00+0100","Zch_Heubeeribüel","O3","h1","µg/m3",59.94,"provisorisch"
"2023-01-01T06:00+0100","Zch_Rosengartenstrasse","NOx","h1","ppb",5.85,"provisorisch"
"2023-01-01T06:00+0100","Zch_Rosengartenstrasse","NO","h1","µg/m3",2.04,"provisorisch"
"2023-01-01T06:00+0100","Zch_Rosengartenstrasse","NO2","h1","µg/m3",8.06,"provisorisch"
"2023-01-01T06:00+0100","Zch_Rosengartenstrasse","O3","h1","µg/m3",49.97,"provisorisch"
"2023-01-01T06:00+0100","Zch_Rosengartenstrasse","PM10","h1","µg/m3",8.27,"provisorisch"
"2023-01-01T06:00+0100","Zch_Rosengartenstrasse","PM2.5","h1","µg/m3",4.6,"provisorisch"
"2023-01-01T07:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.14,"provisorisch"
"2023-01-01T07:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",1.23,"provisorisch"
"2023-01-01T07:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",3.33,"provisorisch"
"2023-01-01T07:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",0.56,"provisorisch"
"2023-01-01T07:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",5.51,"provisorisch"
"2023-01-01T07:00+0100","Zch_Stampfenbachstrasse","O3","h1","µg/m3",48.37,"provisorisch"
"2023-01-01T07:00+0100","Zch_Stampfenbachstrasse","PM10","h1","µg/m3",11.1,"provisorisch"
"2023-01-01T07:00+0100","Zch_Stampfenbachstrasse","PM2.5","h1","µg/m3",6.56,"provisorisch"
"2023-01-01T07:00+0100","Zch_Schimmelstrasse","NOx","h1","ppb",2.57,"provisorisch"
"2023-01-01T07:00+0100","Zch_Schimmelstrasse","NO","h1","µg/m3",0.77,"provisorisch"
"2023-01-01T07:00+0100","Zch_Schimmelstrasse","NO2","h1","µg/m3",3.74,"provisorisch"
"2023-01-01T07:00+0100","Zch_Schimmelstrasse","O3","h1","µg/m3",58,"provisorisch"
"2023-01-01T07:00+0100","Zch_Schimmelstrasse","PM10","h1","µg/m3",6.61,"provisorisch"
"2023-01-01T07:00+0100","Zch_Schimmelstrasse","PM2.5","h1","µg/m3",3.86,"provisorisch"
"2023-01-01T07:00+0100","Zch_Heubeeribüel","NOx","h1","ppb",2.49,"provisorisch"
"2023-01-01T07:00+0100","Zch_Heubeeribüel","NO","h1","µg/m3",0.39,"provisorisch"
"2023-01-01T07:00+0100","Zch_Heubeeribüel","NO2","h1","µg/m3",4.16,"provisorisch"
"2023-01-01T07:00+0100","Zch_Heubeeribüel","O3","h1","µg/m3",52.09,"provisorisch"
"2023-01-01T07:00+0100","Zch_Rosengartenstrasse","NOx","h1","ppb",12.7,"provisorisch"
"2023-01-01T07:00+0100","Zch_Rosengartenstrasse","NO","h1","µg/m3",8.5,"provisorisch"
"2023-01-01T07:00+0100","Zch_Rosengartenstrasse","NO2","h1","µg/m3",11.25,"provisorisch"
