"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1984-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",1.97,"bereinigt"
"1984-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",50.38,"bereinigt"
"1984-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",185.55,"bereinigt"
"1984-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",175.1,"bereinigt"
"1984-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",51.92,"bereinigt"
"1984-01-01T01:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",1.73,"bereinigt"
"1984-01-01T01:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",48.84,"bereinigt"
"1984-01-01T01:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",174.2,"bereinigt"
"1984-01-01T01:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",165.21,"bereinigt"
"1984-01-01T01:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",43.69,"bereinigt"
"1984-01-01T02:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",1.99,"bereinigt"
"1984-01-01T02:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",47.3,"bereinigt"
"1984-01-01T02:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",218.53,"bereinigt"
"1984-01-01T02:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",199.94,"bereinigt"
"1984-01-01T02:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",38.55,"bereinigt"
"1984-01-01T03:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",1.79,"bereinigt"
"1984-01-01T03:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",47.81,"bereinigt"
"1984-01-01T03:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",152.05,"bereinigt"
"1984-01-01T03:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",146.91,"bereinigt"
"1984-01-01T03:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",40.6,"bereinigt"
"1984-01-01T04:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.98,"bereinigt"
